id,fechaAlta,hora,anamnesis,fechaAlta,eog,tratamiento,Temperatura,Peso,referencia,notaCaja,atendidoPor,pendiente,aFuturo,fechaAlta,fechaAlta,mascotumId,referenciumId,clienteId
16,2022-02-04T18:28:06.000Z,18:28:06,"Sin anamnesis",2022-02-04T18:28:06.000Z,VACUNA,Doble,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2022-02-04T18:28:06.000Z,2022-02-04T18:28:06.000Z,82,1,1351
17,2024-02-23T18:49:54.000Z,18:49:54,"EL VIERNES 16/02/24 SE COMIENZA CON 5MG DE PREDNISOLONA CADA 24 HORAS

EL VIERNES 23/02/24 SE LE ADMINISTRA POR VIA PARENTERAL SUB CUTANEA 0.85 CONVENIA 

EL SABADO 24/02/24 SE CONTINUA CON LA MISMA DOSIS PERO CADA 48 HORAS",2024-02-23T18:49:54.000Z,"Consulta general","Sin tratamiento",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2024-02-23T18:49:54.000Z,2024-02-23T18:49:54.000Z,13,1,1266
18,2022-02-09T19:55:54.000Z,19:55:54,"Sin anamnesis",2022-02-09T19:55:54.000Z,VACUNA,Cuadruple,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2022-02-09T19:55:54.000Z,2022-02-09T19:55:54.000Z,84,1,1351
19,2018-05-12T18:27:54.000Z,18:27:54,"Sin anamnesis",2018-05-12T18:27:54.000Z,VACUNA,SEXTUPLE,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2018-05-12T18:27:54.000Z,2018-05-12T18:27:54.000Z,87,1,1355
20,2018-05-12T18:31:03.000Z,18:31:03,"Sin anamnesis",2018-05-12T18:31:03.000Z,VACUNA,SEXTUPLE,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2018-05-12T18:31:03.000Z,2018-05-12T18:31:03.000Z,89,1,1357
21,2024-03-16T14:21:19.000Z,14:21:19,"LUEGO DE TOTAL NEGLIGENCIA DE SUS TUTORES LOS CUALES NO RECORDARON LA FECHA EN LA CUAL ESTABA ESTIPULADO REPETIR EL TRATAMIENTO CON CONVENIA SE CONTACTO A LAS AUTORIDADES DEL INBA POR MALTRATO ANIMAL

SE PUDO RETIRAR EL ANIMAL DE LOS TUTORES Y PASO A LOS CUIDADOS DEL CIUDADANO EJEMPLAR JUAN CAMACHO

EL 16/03/24 SE LE ADMINISTRA CONVENIA SUBCUTANEO Y CORTAVANCE TOPICO",2024-03-16T14:21:19.000Z,"Consulta general","Sin tratamiento",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2024-03-16T14:21:19.000Z,2024-03-16T14:21:19.000Z,13,1,1266
22,2024-03-23T17:35:34.000Z,17:35:34,"SE COMIENZA NUEVAMENTE A ADMINISTRAR PREDNISOLONA 5MG CADA 24 HRS POR 3 DIAS
LUEGO SE ADMINISTRA 5MG CADA 48 HORAS POR 3 DIAS",2024-03-23T17:35:34.000Z,"Consulta general","Sin tratamiento",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2024-03-23T17:35:34.000Z,2024-03-23T17:35:34.000Z,13,1,1266
23,2024-06-28T15:18:24.000Z,15:18:24,"Sin anamnesis",2024-06-28T15:18:24.000Z,DESPARASITACION,REVOLUTION,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2024-06-28T15:18:24.000Z,2024-06-28T15:18:24.000Z,13,1,1266
24,2018-05-10T15:33:29.000Z,15:33:29,"Sin anamnesis",2018-05-10T15:33:29.000Z,VACUNA,Rabia,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2018-05-10T15:33:29.000Z,2018-05-10T15:33:29.000Z,14,1,1269
25,2018-05-10T15:56:31.000Z,15:56:31,"Sin anamnesis",2018-05-10T15:56:31.000Z,VACUNA,Rabia,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2018-05-10T15:56:31.000Z,2018-05-10T15:56:31.000Z,15,1,1269
26,2018-05-10T15:58:05.000Z,15:58:05,"Sin anamnesis",2018-05-10T15:58:05.000Z,VACUNA,Rabia,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2018-05-10T15:58:05.000Z,2018-05-10T15:58:05.000Z,16,1,1269
27,2020-11-14T17:51:01.000Z,17:51:01,"Se palparon articulaciones y tejidos blandos y no e encontro dolor. 
Se manda equilibrio obesity 275g por dia para bajar de peso y ejercicio diario.

Tto: dipirona inyectable",2020-11-14T17:51:01.000Z,"Consulta general","Sin tratamiento",39.4,31.35,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2020-11-14T17:51:01.000Z,2020-11-14T17:51:01.000Z,20,1,1270
28,2021-01-23T13:52:06.000Z,13:52:06,"Agitacion casi permanente
Demuestra algun  dolor en region toraco lumbar
Nada mas para destacar
dipirona cada 12 hrs",2021-01-23T13:52:06.000Z,"Consulta general","Sin tratamiento",39.4,30.5,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2021-01-23T13:52:06.000Z,2021-01-23T13:52:06.000Z,20,1,1270
29,2021-02-06T12:00:00.000Z,12:00:00,"Sin anamnesis",2021-02-06T12:00:00.000Z,EXAMEN,"Analisis de Laboratorio 0",38,30,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2021-02-06T12:00:00.000Z,2021-02-06T12:00:00.000Z,20,1,1270
30,2021-12-04T15:15:03.000Z,15:15:03,"consulta por verrugas 
presenta tres verrugas sin otras lesiones
actualmente sobrepeso 
come biofresh light
se sugiere control de peso. perfil bioquímico con t4. comenzar con 1 hora de ejercicio diario
presenta enf periodontal se sugiere limpieza mecánica 
en verrugas novapel crema
auscultación s/p",2021-12-04T15:15:03.000Z,"Consulta general","Sin tratamiento",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2021-12-04T15:15:03.000Z,2021-12-04T15:15:03.000Z,20,1,1270
31,2022-01-04T20:13:23.000Z,20:13:23,"Sin anamnesis",2022-01-04T20:13:23.000Z,EXAMEN,"Analisis de Laboratorio 0",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2022-01-04T20:13:23.000Z,2022-01-04T20:13:23.000Z,20,1,1270
32,2022-01-04T21:41:43.000Z,21:41:43,"comienza tratamiento para bajar de peso con virbac w
trihepat 5 ml cada 24 hs",2022-01-04T21:41:43.000Z,"Consulta general","Sin tratamiento",0,28.45,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2022-01-04T21:41:43.000Z,2022-01-04T21:41:43.000Z,20,1,1270
33,2022-01-09T00:10:26.000Z,00:10:26,"Sin anamnesis",2022-01-09T00:10:26.000Z,EXAMEN,"Analisis de Laboratorio 0",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2022-01-09T00:10:26.000Z,2022-01-09T00:10:26.000Z,20,1,1270
34,2022-01-19T13:56:41.000Z,13:56:41,"Sin anamnesis",2022-01-19T13:56:41.000Z,"Consulta general","Sin tratamiento",0,28100,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2022-01-19T13:56:41.000Z,2022-01-19T13:56:41.000Z,20,1,1270
35,2022-01-26T15:37:58.000Z,15:37:58,"consulta por estornudos
se observa secreción serosa 
tusígeno negativo 
auscultación sp
comenzamos apibron y controlar",2022-01-26T15:37:58.000Z,"Consulta general","Sin tratamiento",0,27.95,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2022-01-26T15:37:58.000Z,2022-01-26T15:37:58.000Z,20,1,1270
36,2022-02-03T16:07:57.000Z,16:07:57,"CONTINÚA CON PROTECTOR HEPÁTICO TRIHEPAT POR EPISODIO DE DIARREA LUEGO DE COMER UN PREMIO",2022-02-03T16:07:57.000Z,"Consulta general","Sin tratamiento",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2022-02-03T16:07:57.000Z,2022-02-03T16:07:57.000Z,20,1,1270
37,2022-03-12T15:58:13.000Z,15:58:13,"Sin anamnesis",2022-03-12T15:58:13.000Z,"Consulta general","Sin tratamiento",0,26.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2022-03-12T15:58:13.000Z,2022-03-12T15:58:13.000Z,20,1,1270
38,2022-04-12T16:50:26.000Z,16:50:26,"extraigo sangre para control y realizo tirilla de orina",2022-04-12T16:50:26.000Z,"Consulta general","Sin tratamiento",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2022-04-12T16:50:26.000Z,2022-04-12T16:50:26.000Z,20,1,1270
39,2022-04-12T16:51:38.000Z,16:51:38,"Sin anamnesis",2022-04-12T16:51:38.000Z,EXAMEN,"EXAMEN DE ORINA densidad 1025
leucocitos 500 +++
ph 5
sangre +
prot +
ascórbico +",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2022-04-12T16:51:38.000Z,2022-04-12T16:51:38.000Z,20,1,1270
40,2022-04-12T18:27:40.000Z,18:27:40,"Sin anamnesis",2022-04-12T18:27:40.000Z,EXAMEN,"Analisis de Laboratorio 0",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2022-04-12T18:27:40.000Z,2022-04-12T18:27:40.000Z,20,1,1270
41,2022-04-20T17:13:45.000Z,17:13:45,"Sin anamnesis",2022-04-20T17:13:45.000Z,EXAMEN,"Analisis de Laboratorio Sedimento urinario presencia de leucocitos y bacteriuria",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2022-04-20T17:13:45.000Z,2022-04-20T17:13:45.000Z,20,1,1270
42,2022-10-29T15:04:00.000Z,15:04:00,"concurre para extracción sanguínea chequeo geriátrico 
seborrea sugiero bañar con sebo calm 
procesamos resultados",2022-10-29T15:04:00.000Z,"Consulta general","Sin tratamiento",0,22,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2022-10-29T15:04:00.000Z,2022-10-29T15:04:00.000Z,20,1,1270
43,2023-01-28T19:17:15.000Z,19:17:15,"Sin anamnesis",2023-01-28T19:17:15.000Z,DESPARASITACION,APRAX,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2023-01-28T19:17:15.000Z,2023-01-28T19:17:15.000Z,22,1,1270
44,2023-02-13T19:44:34.000Z,19:44:34,"Sin anamnesis",2023-02-13T19:44:34.000Z,VACUNA,Doble,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2023-02-13T19:44:34.000Z,2023-02-13T19:44:34.000Z,22,1,1270
45,2023-03-06T14:22:27.000Z,14:22:27,"Sin anamnesis",2023-03-06T14:22:27.000Z,VACUNA,Doble,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2023-03-06T14:22:27.000Z,2023-03-06T14:22:27.000Z,22,1,1270
46,2023-03-06T14:22:54.000Z,14:22:54,"Sin anamnesis",2023-03-06T14:22:54.000Z,"Consulta general","Sin tratamiento",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2023-03-06T14:22:54.000Z,2023-03-06T14:22:54.000Z,22,1,1270
47,2023-03-27T13:19:39.000Z,13:19:39,"Sin anamnesis",2023-03-27T13:19:39.000Z,VACUNA,SEXTUPLE,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2023-03-27T13:19:39.000Z,2023-03-27T13:19:39.000Z,22,1,1270
48,2024-01-08T22:25:21.000Z,22:25:21,"DIARREA INTERMITENTE HACE 2 DIAS
MATERIA BLANDA CON UN POCO DE MATERIA LIQUIDA
RESTO EXAMEN SP
NEOENTERO
DESPARASITAR",2024-01-08T22:25:21.000Z,"Consulta general","Sin tratamiento",0,18.8,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2024-01-08T22:25:21.000Z,2024-01-08T22:25:21.000Z,22,1,1270
49,2024-01-19T16:03:16.000Z,16:03:16,"COMIÓ UNOS BROTES DE HORTENSIA
COENZÓ CON VÓMITOS EN LA MAÑANA . VOMITÓ ALIMENTO Y LUEGO VÓMITOS CON SALIVA. UNAS 6 VECES APROXIMADAMENTE
CLINICAMENTE NORMAL. ALGO DE MOLESTIA ABDOMINAL 
ADINISTRAMOS CERENIA 
COCINAR POLLO CON ARROZ. DAR PEQUEÑAS CANTIDADES",2024-01-19T16:03:16.000Z,"Consulta general","Sin tratamiento",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2024-01-19T16:03:16.000Z,2024-01-19T16:03:16.000Z,22,1,1270
50,2018-05-09T19:43:22.000Z,19:43:22,"Sin anamnesis",2018-05-09T19:43:22.000Z,VACUNA,Rabia,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2018-05-09T19:43:22.000Z,2018-05-09T19:43:22.000Z,24,1,1273
51,2018-06-28T18:46:38.000Z,18:46:38,"Sin anamnesis",2018-06-28T18:46:38.000Z,"Consulta general","Sin tratamiento",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2018-06-28T18:46:38.000Z,2018-06-28T18:46:38.000Z,24,1,1273
52,2018-06-28T18:47:35.000Z,18:47:35,"Sin anamnesis",2018-06-28T18:47:35.000Z,"Consulta general","Sin tratamiento",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2018-06-28T18:47:35.000Z,2018-06-28T18:47:35.000Z,26,1,1273
53,2018-05-19T17:54:18.000Z,17:54:18,"prurito
limpieza de oído Por prurito
se presenta con engrosamiento del Canal auricular y prurito por lo que se le higieniza el oído con otro Pet limpieza y se le da Se le lleva a la casa Prednisona 10 mg
debe concurrir el lunes para inspeccionar",2018-05-19T17:54:18.000Z,"Consulta general","Sin tratamiento",38.5,8.5,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2018-05-19T17:54:18.000Z,2018-05-19T17:54:18.000Z,28,1,1275
54,2018-06-19T21:34:44.000Z,21:34:44,"VUELVE A CONTROL DE OIDOS. PRESENTA IRRITACION Y SECRECION Y ESTA MOLESTO.
LE MANDO OTOPET TERAPIA CADA 12 HS POR 10 DIAS",2018-06-19T21:34:44.000Z,"Consulta general","Sin tratamiento",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2018-06-19T21:34:44.000Z,2018-06-19T21:34:44.000Z,28,1,1275
55,2018-09-11T20:08:30.000Z,20:08:30,"REVISION POR FISTULA A NIVEL INTERCOSTAL. VIENE DE UNA CIRUGIA DE CACHORRO.... SE LE ENVIA MARBO Y PREVICOX PARA PREPARARLO A CIRUGIA.",2018-09-11T20:08:30.000Z,"Consulta general","Sin tratamiento",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2018-09-11T20:08:30.000Z,2018-09-11T20:08:30.000Z,28,1,1275
56,2019-10-21T20:01:14.000Z,20:01:14,"Sin anamnesis",2019-10-21T20:01:14.000Z,DESPARASITACION,NEXGARD,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2019-10-21T20:01:14.000Z,2019-10-21T20:01:14.000Z,28,1,1275
57,2019-11-21T17:31:21.000Z,17:31:21,"Sin anamnesis",2019-11-21T17:31:21.000Z,DESPARASITACION,NEXGARD,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2019-11-21T17:31:21.000Z,2019-11-21T17:31:21.000Z,28,1,1275
58,2021-09-01T20:52:37.000Z,20:52:37,"Consulta por prurito y lesiones 
Se observan rastros de lamido frecuente en vientre y Lesiones alopecicas en flanco de mmpp
Se observan abundantes pulgas
Pulicosis alergica
Tto. Predni vía oral
Spray clhorex en lesion
Baños micoseb 1 vez semana
Tto ectoparasitos (cordellio) y tto del ambiente (tea larvox)",2021-09-01T20:52:37.000Z,"Consulta general","Sin tratamiento",0,14,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2021-09-01T20:52:37.000Z,2021-09-01T20:52:37.000Z,40,1,1322
59,2018-05-17T20:34:06.000Z,20:34:06,"SE PRESENTA LUEGO DE SER ATROPELLADA....
NO SE OBSERVAN ALTERACIONES IMPORTANTES. SE LE REALIZA ECO DE ABDOMEN TODO OK
SE LE MANDA PREVICOX 57 MG 1/2 CADA 24 POR 6 DIAS Y 6A EN DOS HERIDAS EN LA CABEZA",2018-05-17T20:34:06.000Z,"Consulta general","Sin tratamiento",0,7.35,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2018-05-17T20:34:06.000Z,2018-05-17T20:34:06.000Z,43,1,1323
60,2018-06-11T19:12:20.000Z,19:12:20,"se envia sangre a laclivet (lipasa pancreatica)
Comienza con Intestinal Royal Canin",2018-06-11T19:12:20.000Z,"Consulta general","Sin tratamiento",38.3,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2018-06-11T19:12:20.000Z,2018-06-11T19:12:20.000Z,43,1,1323
61,2020-06-20T18:01:23.000Z,18:01:23,"Sin anamnesis",2020-06-20T18:01:23.000Z,VACUNA,Rabia,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2020-06-20T18:01:23.000Z,2020-06-20T18:01:23.000Z,45,1,1323
62,2019-04-08T18:44:51.000Z,18:44:51,"presenta episodios de diarrea... se le envia dieta y se le administra cerenia",2019-04-08T18:44:51.000Z,"Consulta general","Sin tratamiento",38.6,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2019-04-08T18:44:51.000Z,2019-04-08T18:44:51.000Z,46,1,1325
63,2019-07-30T17:47:11.000Z,17:47:11,"Sin anamnesis",2019-07-30T17:47:11.000Z,VACUNA,Rabia,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2019-07-30T17:47:11.000Z,2019-07-30T17:47:11.000Z,46,1,1325
64,2020-05-28T21:44:01.000Z,21:44:01,"se presenta por vomitos y diarrea de color negro. hace 24 hs que esta así.
cada poco hace estos episodios. se recomienda empezar con intestinal de rc que ya tiene y continuar luego para mejorarle la función digestiva
se le administra maropitan",2020-05-28T21:44:01.000Z,"Consulta general","Sin tratamiento",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2020-05-28T21:44:01.000Z,2020-05-28T21:44:01.000Z,46,1,1325
65,2020-11-13T20:54:38.000Z,20:54:38,"Stomorgyl 1/4 comprimido por dia durante 10 dias debido a halitosis",2020-11-13T20:54:38.000Z,"Consulta general","Sin tratamiento",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2020-11-13T20:54:38.000Z,2020-11-13T20:54:38.000Z,46,1,1325
66,2023-09-25T15:57:16.000Z,15:57:16,"Sin anamnesis",2023-09-25T15:57:16.000Z,VACUNA,"SEXTUPLE Y RABIA",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2023-09-25T15:57:16.000Z,2023-09-25T15:57:16.000Z,46,1,1325
67,2018-07-11T17:06:39.000Z,17:06:39,"Sin anamnesis",2018-07-11T17:06:39.000Z,"Consulta general","Sin tratamiento",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2018-07-11T17:06:39.000Z,2018-07-11T17:06:39.000Z,48,1,1325
68,2018-07-11T17:06:39.000Z,17:06:39,"Sin anamnesis",2018-07-11T17:06:39.000Z,"Consulta general","Sin tratamiento",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2018-07-11T17:06:39.000Z,2018-07-11T17:06:39.000Z,48,1,1325
69,2018-07-11T17:22:22.000Z,17:22:22,"Sin anamnesis",2018-07-11T17:22:22.000Z,"Consulta general","Sin tratamiento",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2018-07-11T17:22:22.000Z,2018-07-11T17:22:22.000Z,48,1,1325
70,2019-04-08T18:45:51.000Z,18:45:51,"Sin anamnesis",2019-04-08T18:45:51.000Z,VACUNA,SEXTUPLE,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2019-04-08T18:45:51.000Z,2019-04-08T18:45:51.000Z,48,1,1325
71,2019-10-23T22:03:35.000Z,22:03:35,"Presenta posicion antialgica. le cerraron una cama marinera el lunes y lo apretaron.
Presenta dolor lumbar.
se le administra meloxi y se le envia previcox por 1 semana",2019-10-23T22:03:35.000Z,"Consulta general","Sin tratamiento",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2019-10-23T22:03:35.000Z,2019-10-23T22:03:35.000Z,48,1,1325
72,2019-11-06T21:14:26.000Z,21:14:26,"presenta diarrea de color negro oscuro ...
se le evnvia talipectim por 10 dias",2019-11-06T21:14:26.000Z,"Consulta general","Sin tratamiento",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2019-11-06T21:14:26.000Z,2019-11-06T21:14:26.000Z,48,1,1325
73,2020-01-03T17:08:25.000Z,17:08:25,"MC  vomitos diarrea  HIPOREXIA
DOLOR ABDOMINAL
TARTAMIENTO MAROPITAN DIETA INTESTINAL
TALIPECTIN 1/40COMP CADA 12",2020-01-03T17:08:25.000Z,"Consulta general","Sin tratamiento",38.5,3,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2020-01-03T17:08:25.000Z,2020-01-03T17:08:25.000Z,48,1,1325
74,2020-04-13T20:30:06.000Z,20:30:06,"Sin anamnesis",2020-04-13T20:30:06.000Z,VACUNA,Rabia,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2020-04-13T20:30:06.000Z,2020-04-13T20:30:06.000Z,48,1,1325
75,2021-12-28T22:11:24.000Z,22:11:24,"Mc: vomitos y diarrea con un poquito de sangre.

Se evidencia molestia abdominal.

Tto: cerenia. hills i/d. neodimetrogin por 5 dias",2021-12-28T22:11:24.000Z,"Consulta general","Sin tratamiento",38.7,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2021-12-28T22:11:24.000Z,2021-12-28T22:11:24.000Z,48,1,1325
76,2023-10-12T18:46:01.000Z,18:46:01,"vómitos. cólicos. dolor abdominal. 72 hs de evolución
aplicamos cerenia",2023-10-12T18:46:01.000Z,"Consulta general","Sin tratamiento",37.8,4,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2023-10-12T18:46:01.000Z,2023-10-12T18:46:01.000Z,48,1,1325
